,Word,Count,POS,Definition
144642,Sole,4,"""n.""","""Any one of several species of flatfishes of the genus Solea and allied genera of the family Soleidae  especially the common European species (Solea vulgaris) which is a valuable food fish."""
144652,Soled,5,"""imp. & p. p.""","""of Sole"""
144653,Soling,6,"""p. pr. & vb. n.""","""of Sole"""
144664,Solely,6,"""adv.""","""Singly; alone; only; without another; as  to rest a cause solely one argument; to rely solelyn one's own strength."""
144665,Solemn,6,"""a.""","""Marked with religious rites and pomps; enjoined by  or connected with religion; sacred."""
144692,Solen,5,"""n.""","""A cradle  as for a broken limb. See Cradle 6."""
144708,Soler,5,"""n.""","""Alt. of Solere"""
144709,Solere,6,"""n.""","""A loft or garret. See Solar  n."""
144710,Solert,6,"""a.""","""Skillful; clever; crafty."""
144722,Soli,4,"""n.""","""pl. of Solo."""
144725,Solicit,7,"""v. t.""","""To ask from with earnestness; to make petition to; to apply to for obtaining something; as  to solicit person for alms."""
144741,Solid,5,"""a.""","""Having the constituent parts so compact  or so firmly adhering as to resist the impression or penetration of other bodies; having a fixed form; hard; firm; compact; -- opposed to fluid and liquid or to plastic like clay or to incompact like sand."""
144770,Solidly,7,"""adv.""","""In a solid manner; densely; compactly; firmly; truly."""
144788,Soliped,7,"""n.""","""A mammal having a single hoof on each foot  as the horses and asses; a solidungulate."""
144814,Sollar,6,"""n.""","""See Solar  n."""
144817,Sollein,7,"""a.""","""Sullen; sad."""
144820,Solos,5,"""pl. ""","""of Solo"""
144822,Solo,4,"""a.""","""A tune  air strain or a whole piece played by a single person on an instrument or sung by a single voice."""
144823,Soloist,7,"""n.""","""One who sings or plays a solo."""
144824,Solomon,7,"""n.""","""One of the kings of Israel  noted for his superior wisdom and magnificent reign; hence a very wise man."""
144825,Solon,5,"""n.""","""A celebrated Athenian lawmaker  born about 638 b. c.; hence a legislator; a publicist; -- often used ironically."""
144836,Soluble,7,"""a.""","""Susceptible of being dissolved in a fluid; capable of solution; as  some substances are soluble in alcohol which are not soluble in water."""
144840,Solus,5,"""fem. a.""","""Alt. of Sola"""
144842,Solute,6,"""a.""","""Loose; free; liberal; as  a solute interpretation."""
144863,Solved,6,"""imp. & p. p.""","""of Solve"""
144864,Solving,7,"""p. pr. & vb. n.""","""of Solve"""
144865,Solve,5,"""v. t.""","""To explain; to resolve; to unfold; to clear up (what is obscure or difficult to be understood); to work out to a result or conclusion; as  to solve a doubt; to solve difficulties; to solve a problem."""
144868,Solvend,7,"""n.""","""A substance to be dissolved."""
144869,Solvent,7,"""a.""","""Having the power of dissolving; dissolving; as  a solvent fluid."""
144873,Solver,6,"""n.""","""One who  or that which solves."""
144875,Soly,4,"""adv.""","""Solely."""
144876,Soma,4,"""n.""","""The whole axial portion of an animal  including the head neck trunk and tail."""
144877,Somaj,5,"""n.""","""Alt. of Samaj"""
144878,Samaj,5,"""n.""","""A society; a congregation; a worshiping assembly  or church esp. of the Brahmo-somaj."""
144879,Somali,6,"""n.""","""Alt. of Somal"""
144880,Somal,5,"""n.""","""A Hamitic people of East Central Africa."""
144881,Somatic,7,"""a.""","""Of or pertaining to the body as a whole; corporeal; as  somatic death; somatic changes."""
144893,Somber,6,"""a.""","""Alt. of Sombre"""
144894,Sombre,6,"""a.""","""Dull; dusky; somewhat dark; gloomy; as  a somber forest; a somber house."""
144908,Some,4,"""a.""","""Consisting of a greater or less portion or sum; composed of a quantity or number which is not stated; -- used to express an indefinite quantity or number; as  some wine; some water; some persons. Used also pronominally; as I have some."""
144918,Somehow,7,"""adv.""","""In one way or another; in some way not yet known or designated; by some means; as  the thing must be done somehow; he lives somehow."""
144939,Somite,6,"""n.""","""One of the actual or ideal serial segments of which an animal  esp. an articulate or vertebrate is is composed; somatome; metamere."""
144940,Sommeil,7,"""n.""","""Slumber; sleep."""
144951,Somne,5,"""v. t.""","""To summon."""
144952,Somner,6,"""n.""","""A summoner; esp.  one who summons to an ecclesiastical court."""
144953,Somnial,7,"""a.""","""Of or pertaining to sleep or dreams."""
144972,Somnour,7,"""n.""","""A summoner; an apparitor; a sompnour."""
144974,Somonce,7,"""n.""","""A summons; a citation."""
144976,Sompne,6,"""v. t.""","""To summon; to cite."""
144978,Son,3,"""n.""","""A male child; the male issue  or offspring of a parent father or mother."""
144984,Sonance,7,"""n.""","""A sound; a tune; as  to sound the tucket sonance."""
144986,Sonant,6,"""a.""","""Of or pertaining to sound; sounding."""
144989,Sonata,6,"""n.""","""An extended composition for one or two instruments  consisting usually of three or four movements; as Beethoven's sonatas for the piano for the violin and piano etc."""
144991,Soncy,5,"""a.""","""Alt. of Sonsy"""
144992,Sonsy,5,"""a.""","""Lucky; fortunate; thriving; plump."""
144993,Sond,4,"""v. t.""","""Alt. of Sonde"""
144994,Sonde,5,"""v. t.""","""That which is sent; a message or messenger; hence  also a visitation of providence; an affliction or trial."""
144995,Sondeli,7,"""n.""","""The musk shrew. See under Musk."""
144996,Song,4,"""n.""","""That which is sung or uttered with musical modulations of the voice  whether of a human being or of a bird insect etc."""
145003,Songful,7,"""a.""","""Disposed to sing; full of song."""
145004,Songish,7,"""a.""","""Consisting of songs."""
145009,Sonifer,7,"""n.""","""A kind of ear trumpet for the deaf  or the partially deaf."""
145014,Sonless,7,"""a.""","""Being without a son."""
145015,Sonnet,6,"""n.""","""A short poem  -- usually amatory."""
145023,Sonnish,7,"""a.""","""Like the sun; sunny; golden."""
145024,Sonnite,7,"""n.""","""See Sunnite."""
145034,Sonship,7,"""n.""","""The state of being a son  or of bearing the relation of a son; filiation."""
145036,Sontag,6,"""n.""","""A knitted worsted jacket  worn over the waist of a woman's dress."""
145037,Sonties,7,"""n.""","""Probably from """"""""saintes"""""""" saints  or from sanctities; -- used as an oath."""
145039,Soodra,6,"""""","""Same as Sudra."""
145040,Soofee,6,"""""","""Alt. of Soofeeism"""
145042,Soojee,6,"""n.""","""Same as Suji."""
145043,Soon,4,"""adv.""","""In a short time; shortly after any time specified or supposed; as  soon after sunrise."""
145048,Soonee,6,"""n.""","""See Sunnite."""
145049,Soonly,6,"""adv.""","""Soon."""
145050,Soord,5,"""n.""","""Skin of bacon."""
145051,Soorma,6,"""n.""","""A preparation of antimony with which Mohammedan men anoint their eyelids."""
145053,Soosoo,6,"""n.""","""A kind of dolphin (Platanista Gangeticus) native of the river Ganges; the Gangetic dolphin. It has a long  slender somewhat spatulate beak."""
145054,Soot,4,"""n.""","""A black substance formed by combustion  or disengaged from fuel in the process of combustion which rises in fine particles and adheres to the sides of the chimney or pipe conveying the smoke; strictly the fine powder consisting chiefly of carbon which colors smoke and which is the result of imperfect combustion. See Smoke."""
145055,Sooted,6,"""imp. & p. p.""","""of Soot"""
145056,Sooting,7,"""p. pr. & vb. n.""","""of Soot"""
145059,Soote,5,"""a.""","""Sweet."""
145061,Sooth,5,"""superl.""","""True; faithful; trustworthy."""
145066,Soothed,7,"""imp. & p. p.""","""of Soothe"""
145068,Soothe,6,"""a.""","""To assent to as true."""
145071,Soother,7,"""n.""","""One who  or that which soothes."""
145076,Soothly,7,"""adv.""","""In truth; truly; really; verily."""
145087,Sootish,7,"""a.""","""Sooty."""
145088,Sooty,5,"""superl.""","""Of or pertaining to soot; producing soot; soiled by soot."""
145091,Sop,3,"""v. t.""","""Anything steeped  or dipped and softened in any liquid; especially something dipped in broth or liquid food and intended to be eaten."""
145094,Sopped,6,"""imp. & p. p.""","""of Sop"""
145095,Sopping,7,"""p. pr. & vb. n.""","""of Sop"""
145097,Sope,4,"""n.""","""See Soap."""
145098,Soph,4,"""n.""","""A contraction of Soph ister."""
145100,Sophis,6,"""pl. ""","""of Sophi"""
145101,Sophi,5,"""n.""","""See Sufi."""
145102,Sophic,6,"""a.""","""Alt. of Sophical"""
145104,Sophime,7,"""n.""","""Sophism."""
145105,Sophism,7,"""n.""","""The doctrine or mode of reasoning practiced by a sophist; hence  any fallacy designed to deceive."""
145106,Sophist,7,"""n.""","""One of a class of men who taught eloquence  philosophy and politics in ancient Greece; especially one of those who by their fallacious but plausible reasoning puzzled inquirers after truth weakened the faith of the people and drew upon themselves general hatred and contempt."""
145125,Sophora,7,"""n.""","""A genus of leguminous plants."""
145127,Sophta,6,"""n.""","""See Softa."""
145128,Sopite,6,"""v. t.""","""To lay asleep; to put to sleep; to quiet."""
145130,Sopor,5,"""n.""","""Profound sleep from which a person can be roused only with difficulty."""
145137,Sopper,6,"""n.""","""One who sops."""
145138,Soppy,5,"""a.""","""Soaked or saturated with liquid or moisture; very wet or sloppy."""
145139,Sopra,5,"""adv.""","""Above; before; over; upon."""
145142,Soprani,7,"""pl. ""","""of Soprano"""
145143,Soprano,7,"""n.""","""The treble; the highest vocal register; the highest kind of female or boy's voice; the upper part in harmony for mixed voices."""
145146,Sora,4,"""n.""","""A North American rail (Porzana Carolina) common in the Eastern United States. Its back is golden brown  varied with black and white the front of the head and throat black the breast and sides of the head and neck slate-colored. Called also American rail Carolina rail Carolina crake common rail sora rail soree meadow chicken and orto."""
145147,Sorance,7,"""n.""","""Soreness."""
145148,Sorb,4,"""n.""","""The wild service tree (Pyrus torminalis) of Europe; also  the rowan tree."""
145150,Sorbate,7,"""n.""","""A salt of sorbic acid."""
145153,Sorbent,7,"""n.""","""An absorbent."""
145154,Sorbet,6,"""n.""","""A kind of beverage; sherbet."""
145155,Sorbic,6,"""a.""","""Pertaining to  or obtained from the rowan tree or sorb; specifically designating an acid C/H/CO/H of the acetylene series found in the unripe berries of this tree and extracted as a white crystalline substance."""
145156,Sorbile,7,"""a.""","""Fit to be drunk or sipped."""
145157,Sorbin,6,"""n.""","""An unfermentable sugar  isomeric with glucose found in the ripe berries of the rowan tree or sorb and extracted as a sweet white crystalline substance; -- called also mountain-ash sugar."""
145158,Sorbite,7,"""n.""","""A sugarlike substance  isomeric with mannite and dulcite found with sorbin in the ripe berries of the sorb and extracted as a sirup or a white crystalline substance."""
145167,Sorcery,7,"""n.""","""Divination by the assistance  or supposed assistance of evil spirits or the power of commanding evil spirits; magic; necromancy; witchcraft; enchantment."""
145168,Sord,4,"""n.""","""See Sward."""
145169,Sordes,6,"""n.""","""Foul matter; excretion; dregs; filthy  useless or rejected matter of any kind; specifically (Med.) the foul matter that collects on the teeth and tongue in low fevers and other conditions attended with great vital depression."""
145170,Sordet,6,"""n.""","""A sordine."""
145171,Sordid,6,"""a.""","""Filthy; foul; dirty."""
145177,Sordine,7,"""n.""","""See Damper  and 5th Mute."""
145178,Sore,4,"""n.""","""Reddish brown; sorrel."""
145189,Soredia,7,"""n.""","""pl. of Soredium."""
145195,Soree,5,"""n.""","""Same as Sora."""
145197,Sorehon,7,"""n.""","""Formerly  in Ireland a kind of servile tenure which subjected the tenant to maintain his chieftain gratuitously whenever he wished to indulge in a revel."""
145198,Sorel,5,"""n.""","""A young buck in the third year. See the Note under Buck."""
145200,Sorely,6,"""adv.""","""In a sore manner; grievously; painfully; as  to be sorely afflicted."""
145201,Sorema,6,"""n.""","""A heap of carpels belonging to one flower."""
145203,Sorex,5,"""n.""","""A genus of small Insectivora  including the common shrews."""
145204,Sorgne,6,"""n.""","""The three-beared rocking  or whistlefish."""
145205,Sorghum,7,"""n.""","""A genus of grasses  properly limited to two species Sorghum Halepense the Arabian millet or Johnson grass (see Johnson grass) and S. vulgare the Indian millet (see Indian millet under Indian)."""
145207,Sorgo,5,"""n.""","""Indian millet and its varieties. See Sorghum."""
145208,Sori,4,"""n.""","""pl. of Sorus."""
145210,Sorites,7,"""n.""","""An abridged form of stating of syllogisms in a series of propositions so arranged that the predicate of each one that precedes forms the subject of each one that follows  and the conclusion unites the subject of the first proposition with the predicate of the last proposition"""
145212,Sorn,4,"""v. i.""","""To obtrude one's self on another for bed and board."""
145213,Sorner,6,"""n.""","""One who obtrudes himself on another for bed and board."""
145214,Sororal,7,"""a.""","""Relating to a sister; sisterly."""
145217,Sorosis,7,"""n.""","""A woman's club; an association of women."""
145219,Sorrage,7,"""n.""","""The blades of green or barley."""
145221,Sorrel,6,"""a.""","""Of a yellowish or redish brown color; as  a sorrel horse."""
145225,Sorrily,7,"""adv.""","""In a sorry manner; poorly."""
145227,Sorrow,6,"""n.""","""The uneasiness or pain of mind which is produced by the loss of any good  real or supposed or by diseappointment in the expectation of good; grief at having suffered or occasioned evil; regret; unhappiness; sadness."""
145235,Sorry,5,"""a.""","""Grieved for the loss of some good; pained for some evil; feeling regret; -- now generally used to express light grief or affliction  but formerly often used to express deeper feeling."""
145238,Sortes,6,"""pl. ""","""of Sors"""
145239,Sors,4,"""n.""","""A lot; also  a kind of divination by means of lots."""
145240,Sort,4,"""n.""","""Chance; lot; destiny."""
145247,Sorted,6,"""imp. & p. p.""","""of Sort"""
145248,Sorting,7,"""p. pr. & vb. n.""","""of Sort"""
145259,Sortal,6,"""a.""","""Pertaining to a sort."""
145261,Sorter,6,"""n.""","""One who  or that which sorts."""
145263,Sortie,6,"""n.""","""The sudden issuing of a body of troops  usually small from a besieged place to attack or harass the besiegers; a sally."""
145270,Sorus,5,"""n.""","""One of the fruit dots  or small clusters of sporangia on the back of the fronds of ferns."""
145271,Sorwe,5,"""n. & v.""","""Sorrow."""
145273,Sory,4,"""n.""","""Green vitriol  or some earth imregnated with it."""
145276,Soss,4,"""v. i.""","""To fall at once into a chair or seat; to sit lazily."""
145282,Sot,3,"""n.""","""A stupid person; a blockhead; a dull fellow; a dolt."""
145288,Sotadic,7,"""a.""","""Pertaining to  or resembling the lascivious compositions of the Greek poet Sotades."""
145290,Sote,4,"""a.""","""Sweet."""
145291,Sotel,5,"""a.""","""Alt. of Sotil"""
145292,Sotil,5,"""a.""","""Subtile."""
145295,Sothe,5,"""a.""","""Sooth."""
145296,Sothiac,7,"""a.""","""Alt. of Sothic"""
145297,Sothic,6,"""a.""","""Of or pertaining to Sothis  the Egyptian name for the Dog Star; taking its name from the Dog Star; canicular."""
145298,Sotilte,7,"""n.""","""Subtlety."""
145299,Sotted,6,"""""","""a. & p. p. of Sot. Befooled; deluded; besotted."""
145300,Sottery,7,"""n.""","""Folly."""
145301,Sottish,7,"""a.""","""Like a sot; doltish; very foolish; drunken."""
145304,Sous,4,"""pl. ""","""of Sou"""
145305,Sou,3,"""n.""","""An old French copper coin  equivalent in value to and now displaced by the five-centime piece (/ of a franc) which is popularly called a sou."""
145307,Soubah,6,"""n.""","""See Subah."""
145311,Souce,5,"""n.""","""See 1st Souse."""
145314,Soudan,6,"""n.""","""A sultan."""
145315,Souded,6,"""a.""","""Alt. of Soudet"""
145316,Soudet,6,"""a.""","""United; consolidated; made firm; strengthened."""
145317,Souffle,7,"""n.""","""A murmuring or blowing sound; as  the uterine souffle heard over the pregnant uterus."""
145319,Sough,5,"""n.""","""A sow."""
145326,Souke,5,"""v. t. & i.""","""To suck."""
145327,Soul,4,"""a.""","""Sole."""
145337,Souled,6,"""a.""","""Furnished with a soul; possessing soul and feeling; -- used chiefly in composition; as  great-souled Hector."""
145338,Soulili,7,"""n.""","""A long-tailed  crested Javan monkey (Semnopithecus mitratus). The head the crest and the upper surface of the tail are black."""
145341,Soun,4,"""n. & v.""","""Sound."""
145342,Sound,5,"""n.""","""The air bladder of a fish; as  cod sounds are an esteemed article of food."""
145354,Sounded,7,"""imp. & p. p.""","""of Sound"""
145376,Sounder,7,"""n.""","""One who  or that which; sounds; specifically an instrument used in telegraphy in place of a register the communications being read by sound."""
145388,Soundly,7,"""adv.""","""In a sound manner."""
145390,Soune,5,"""v. t. & i.""","""To sound."""
145391,Sounst,6,"""a.""","""Soused. See Souse."""
145392,Soup,4,"""n.""","""A liquid food of many kinds  usually made by boiling meat and vegetables or either of them in water -- commonly seasoned or flavored; strong broth."""
145397,Souple,6,"""n.""","""That part of a flail which strikes the grain."""
145398,Soupy,5,"""a.""","""Resembling soup; souplike."""
145399,Sour,4,"""superl.""","""Having an acid or sharp  biting taste like vinegar and the juices of most unripe fruits; acid; tart."""
145410,Soured,6,"""imp. & p. p.""","""of Sour"""
145411,Souring,7,"""p. pr. & vb. n.""","""of Sour"""
145413,Source,6,"""n.""","""The act of rising; a rise; an ascent."""
145417,Sourde,6,"""v. i.""","""To have origin or source; to rise; to spring."""
145419,Sourish,7,"""a.""","""Somewhat sour; moderately acid; as  sourish fruit; a sourish taste."""
145421,Sourly,6,"""adv.""","""In a sour manner; with sourness."""
145423,Sours,5,"""n.""","""Source. See Source."""
145424,Soursop,7,"""n.""","""The large succulent and slightly acid fruit of a small tree (Anona muricata) of the West Indies; also  the tree itself. It is closely allied to the custard apple."""
145427,Souse,5,"""n.""","""A corrupt form of Sou."""
145432,Soused,6,"""imp. & p. p.""","""of Souse"""
145433,Sousing,7,"""p. pr. & vb. n.""","""of Souse"""
145441,Souslik,7,"""n.""","""See Suslik."""
145442,Sout,4,"""n.""","""Soot."""
145444,Soutage,7,"""n.""","""That in which anything is packed; bagging  as for hops."""
145445,Soutane,7,"""n.""","""A close garnment with straight sleeves  and skirts reaching to the ankles and buttoned in front from top to bottom; especially the black garment of this shape worn by the clergy in France and Italy as their daily dress; a cassock."""
145446,Souter,6,"""n.""","""A shoemaker; a cobbler."""
145449,South,5,"""n.""","""That one of the four cardinal points directly opposite to the north; the region or direction to the right or direction to the right of a person who faces the east."""
145456,Southed,7,"""imp. & p. p.""","""of South"""
145470,Souther,7,"""n.""","""A strong wind  gale or storm from the south."""
145485,Southly,7,"""adv.""","""Southerly."""
145521,Sovran,6,"""a.""","""A variant of Sovereign."""
145522,Sow,3,"""v. i.""","""To sew. See Sew."""
145529,Sowed,5,"""imp.""","""of Sow"""
145530,Sown,4,"""p. p.""","""of Sow"""
145532,Sowing,6,"""p. pr. & vb. n.""","""of Sow"""
145536,Sowans,6,"""n. pl.""","""See Sowens."""
145537,Sowar,5,"""n.""","""In India  a mounted soldier."""
145538,Sowbane,7,"""n.""","""The red goosefoot (Chenopodium rubrum)  -- said to be fatal to swine."""
145539,Sowce,5,"""n. & v.""","""See Souse."""
145540,Sowdan,6,"""n.""","""Sultan."""
145542,Sowens,6,"""n. pl.""","""A nutritious article of food  much used in Scotland made from the husk of the oat by a process not unlike that by which common starch is made; -- called flummery in England."""
145543,Sower,5,"""n.""","""One who  or that which sows."""
145544,Sowins,6,"""n. pl.""","""See Sowens."""
145545,Sowl,4,"""v. t.""","""Alt. of Sowle"""
145546,Sowle,5,"""v. t.""","""To pull by the ears; to drag about."""
145549,Sowne,5,"""v. t. & i.""","""To sound."""
145550,Sowse,5,"""n. & v.""","""See Souse."""
145551,Sowter,6,"""n.""","""See Souter."""
145552,Soy,3,"""n.""","""A Chinese and Japanese liquid sauce for fish  etc. made by subjecting boiled beans (esp. soja beans) or beans and meal to long fermentation and then long digestion in salt and water."""
145554,Soyle,5,"""v. t.""","""To solve  to clear up; as to soyl all other texts."""
145556,Soyned,6,"""a.""","""Filled with care; anxious."""
145557,Sozzle,6,"""v. t.""","""To splash or wet carelessly; as  to sozzle the feet in water."""
145561,Spa,3,"""n.""","""A spring or mineral water; -- so called from a place of this name in Belgium."""
145562,Spaad,5,"""n.""","""A kind of spar; earth flax  or amianthus."""
145563,Space,5,"""n.""","""Extension  considered independently of anything which it may contain; that which makes extended objects conceivable and possible."""
145573,Spaced,6,"""imp. & p. p.""","""of Space"""
145574,Spacong,7,"""p. pr. & vb. n.""","""of Space"""
145578,Spacial,7,"""a.""","""See Spatial."""
145583,Spaddle,7,"""n.""","""A little spade."""
145584,Spade,5,"""n.""","""A hart or stag three years old."""
145589,Spaded,6,"""imp. & p. p.""","""of Spade"""
145590,Spading,7,"""p. pr. & vb. n.""","""of Spade"""
145597,Spader,6,"""n.""","""One who  or that which spades; specifically a digging machine."""
145604,Spadix,6,"""n.""","""A fleshy spike of flowers  usually inclosed in a leaf called a spathe."""
145607,Spado,5,"""n.""","""Same as Spade  2."""
145610,Spaed,5,"""imp. & p. p.""","""of Spae"""
145611,Spaeing,7,"""p. pr. & vb. n.""","""of Spae"""
145612,Spae,4,"""v. i.""","""To foretell; to divine."""
145613,Spaeman,7,"""n.""","""A prophet; a diviner."""
145621,Spahi,5,"""n.""","""Alt. of Spahee"""
145622,Spahee,6,"""n.""","""Formerly  one of the Turkish cavalry."""
145624,Spaid,5,"""n.""","""See 1st Spade."""
145625,Spake,5,"""""","""imp. of Speak."""
145627,Spaky,5,"""a.""","""Specky."""
145629,Spale,5,"""n.""","""A lath; a shaving or chip  as of wood or stone."""
145631,Spall,5,"""n.""","""The shoulder."""
145637,Spalt,5,"""n.""","""Spelter."""
145642,Span,4,"""""","""imp. & p. p. of Spin."""
145648,Spanned,7,"""imp. & p. p.""","""of Span"""
145656,Spancel,7,"""n.""","""A rope used for tying or hobbling the legs of a horse or cow."""
145665,Spane,5,"""v. t.""","""To wean."""
145666,Spang,5,"""v. t.""","""To spangle."""
145670,Spangle,7,"""n.""","""A small plate or boss of shining metal; something brilliant used as an ornament  especially when stitched on the dress."""
145677,Spangly,7,"""a.""","""Resembling  or consisting of spangles; glittering; as spangly light."""
145679,Spaniel,7,"""n.""","""One of a breed of small dogs having long and thick hair and large drooping ears. The legs are usually strongly feathered  and the tail bushy. See Illust. under Clumber and Cocker."""
145684,Spanish,7,"""a.""","""Of or pertaining to Spain or the Spaniards."""
145686,Spanked,7,"""imp. & p. p.""","""of Spank"""
145688,Spank,5,"""v. t.""","""To strike  as the breech with the open hand; to slap."""
145691,Spanker,7,"""n.""","""One who spanks  or anything used as an instrument for spanking."""
145700,Spanner,7,"""n.""","""One who  or that which spans."""
145708,Spar,4,"""n.""","""An old name for a nonmetallic mineral  usually cleavable and somewhat lustrous; as calc spar or calcite fluor spar etc. It was especially used in the case of the gangue minerals of a metalliferous vein."""
145714,Sparred,7,"""imp. & p. p.""","""of Spar"""
145722,Sparada,7,"""n.""","""A small California surf fish (Micrometrus aggregatus); -- called also shiner."""
145725,Sparage,7,"""n.""","""Alt. of Sparagrass"""
145728,Sparble,7,"""v. t.""","""To scatter; to disperse; to rout."""
145729,Spared,6,"""imp. & p. p.""","""of Spare"""
145730,Sparing,7,"""p. pr. & vb. n.""","""of Spare"""
145731,Spare,5,"""a.""","""To use frugally or stintingly  as that which is scarce or valuable; to retain or keep unused; to save."""
145751,Sparely,7,"""adv.""","""In a spare manner; sparingly."""
145754,Sparer,6,"""n.""","""One who spares."""
145756,Sparge,6,"""v. t.""","""To sprinkle; to moisten by sprinkling; as  to sparge paper."""
145758,Sparger,7,"""n.""","""A vessel with a perforated cover  for sprinkling with a liquid; a sprinkler."""
145762,Spark,5,"""n.""","""A small particle of fire or ignited substance which is emitted by a body in combustion."""
145769,Sparker,7,"""n.""","""A spark arrester."""
145773,Sparkle,7,"""n.""","""A little spark; a scintillation."""
145793,Sparoid,7,"""a.""","""Of or pertaining to the Sparidae  a family of spinous-finned fishes which includes the scup sheepshead and sea bream."""
145797,Sparrow,7,"""n.""","""One of many species of small singing birds of the family Fringilligae  having conical bills and feeding chiefly on seeds. Many sparrows are called also finches and buntings. The common sparrow or house sparrow of Europe (Passer domesticus) is noted for its familiarity its voracity its attachment to its young and its fecundity. See House sparrow under House."""
145801,Sparry,6,"""a.""","""Resembling spar  or consisting of spar; abounding with spar; having a confused crystalline structure; spathose."""
145802,Sparse,6,"""superl.""","""Thinly scattered; set or planted here and there; not being dense or close together; as  a sparse population."""
145808,Sparsim,7,"""adv.""","""Sparsely; scatteredly; here and there."""
145809,Spartan,7,"""a.""","""Of or pertaining to Sparta  especially to ancient Sparta; hence hardy; undaunted; as Spartan souls; Spartan bravey."""
145813,Sparth,6,"""n.""","""An Anglo-Saxon battle-ax  or halberd."""
145814,Sparve,6,"""n.""","""The hedge sparrow."""
145815,Spary,5,"""a.""","""Sparing; parsimonious."""
145816,Spasm,5,"""v. t.""","""An involuntary and unnatural contraction of one or more muscles or muscular fibers."""
145823,Spastic,7,"""a.""","""Of or pertaining to spasm; spasmodic; especially  pertaining to tonic spasm; tetanic."""
145827,Spat,4,"""""","""imp. of Spit."""
145833,Spatted,7,"""imp. & p. p.""","""of Spat"""
145841,Spate,5,"""n.""","""A river flood; an overflow or inundation."""
145842,Spathae,7,"""pl. ""","""of Spatha"""
145843,Spatha,6,"""n.""","""A spathe."""
145845,Spathal,7,"""a.""","""Furnished with a spathe; as  spathal flowers."""
145846,Spathe,6,"""n.""","""A special involucre formed of one leaf and inclosing a spadix  as in aroid plants and palms. See the Note under Bract and Illust. of Spadix."""
145847,Spathed,7,"""a.""","""Having a spathe or calyx like a sheath."""
145848,Spathic,7,"""a.""","""Like spar; foliated or lamellar; spathose."""
145854,Spatial,7,"""a.""","""Of or pertaining to space."""
145859,Spatter,7,"""v. t.""","""To sprinkle with a liquid or with any wet substance  as water mud or the like; to make wet of foul spots upon by sprinkling; as to spatter a coat; to spatter the floor; to spatter boots with mud."""
145866,Spattle,7,"""n.""","""Spawl; spittle."""
145870,Spatula,7,"""n.""","""An implement shaped like a knife  flat thin and somewhat flexible used for spreading paints fine plasters drugs in compounding prescriptions etc. Cf. Palette knife under Palette."""
145872,Spauld,6,"""n.""","""The shoulder."""
145873,Spavin,6,"""n.""","""A disease of horses characterized by a bony swelling developed on the hock as the result of inflammation of the bones; also  the swelling itself. The resulting lameness is due to the inflammation and not the bony tumor as popularly supposed."""
145875,Spaw,4,"""n.""","""See Spa."""
145876,Spawl,5,"""n.""","""A splinter or fragment  as of wood or stone. See Spall."""
145878,Spawled,7,"""imp. & p. p.""","""of Spawl"""
145882,Spawned,7,"""imp. & p. p.""","""of Spawn"""
145884,Spawn,5,"""v. t.""","""To produce or deposit (eggs)  as fishes or frogs do."""
145892,Spawner,7,"""n.""","""A mature female fish."""
145894,Spayed,6,"""imp. & p. p.""","""of Spay"""
145895,Spaying,7,"""p. pr. & vb. n.""","""of Spay"""
145896,Spay,4,"""v. t.""","""To remove or extirpate the ovaries of  as a sow or a bitch; to castrate (a female animal)."""
145898,Spayad,6,"""n.""","""Alt. of Spayade"""
145899,Spayade,7,"""n.""","""A spay."""
145900,Spoke,5,"""imp.""","""of Speak"""
145902,Spoken,6,"""p. p.""","""of Speak"""
145905,Speak,5,"""v. i.""","""To utter words or articulate sounds  as human beings; to express thoughts by words; as the organs may be so obstructed that a man may not be able to speak."""
145918,Speaker,7,"""n.""","""One who speaks."""
145925,Speking,7,"""n.""","""The act of uttering words."""
145927,Spear,5,"""n.""","""A long  pointed weapon used in war and hunting by thrusting or throwing; a weapon with a long shaft and a sharp head or blade; a lance."""
145933,Speared,7,"""imp. & p. p.""","""of Spear"""
145937,Spearer,7,"""n.""","""One who uses a spear; as  a spearer of fish."""
145946,Speary,6,"""a.""","""Having the form of a spear."""
145947,Spece,5,"""n.""","""Species; kind."""
145948,Specht,6,"""n.""","""A woodpecker."""
145949,Special,7,"""a.""","""Of or pertaining to a species; constituting a species or sort."""
145975,Specie,6,"""""","""abl. of L. species sort  kind. Used in the phrase in specie that is in sort in kind in (its own) form."""
145977,Species,7,"""n.""","""Visible or sensible presentation; appearance; a sensible percept received by the imagination; an image."""
146002,Specify,7,"""v. t.""","""To mention or name  as a particular thing; to designate in words so as to distinguish from other things; as to specify the uses of a plant; to specify articles purchased."""
146010,Speck,5,"""n.""","""The blubber of whales or other marine mammals; also  the fat of the hippopotamus."""
146014,Specked,7,"""imp. & p. p.""","""of Speck"""
146017,Speckle,7,"""n.""","""A little or spot in or anything  of a different substance or color from that of the thing itself."""
146026,Speckt,6,"""n.""","""A woodpecker. See Speight."""
146044,Specter,7,"""n.""","""Alt. of Spectre"""
146045,Spectre,7,"""n.""","""Something preternaturally visible; an apparition; a ghost; a phantom."""
146062,Spectra,7,"""pl. ""","""of Spectrum"""
146097,Specula,7,"""pl. ""","""of Speculum"""
146103,Sped,4,"""""","""imp. & p. p. of Speed."""
146104,Speece,6,"""n.""","""Species; sort."""
